date,test,detection_rate,n_iterations
2000-03-10,mwu,0.025,1000
2000-03-11,ad,0.031,1000
2000-03-11,chow,0.396,1000
2000-03-11,ks,0.022,1000
2000-03-11,led,0.413,1000
2000-03-11,mwu,0.029,1000
2000-03-12,ad,0.031,1000
2000-03-12,chow,0.397,1000
2000-03-12,ks,0.03,1000
2000-03-12,led,0.416,1000
2000-03-12,mwu,0.028,1000
2000-03-13,ad,0.024,1000
2000-03-13,chow,0.413,1000
2000-03-13,ks,0.021,1000
2000-03-13,led,0.426,1000
2000-03-13,mwu,0.023,1000
2000-03-14,ad,0.022,1000
2000-03-14,chow,0.416,1000
2000-03-14,ks,0.022,1000
2000-03-14,led,0.419,1000
2000-03-14,mwu,0.023,1000
2000-03-15,ad,0.026,1000
2000-03-15,chow,0.413,1000
2000-03-15,ks,0.03,1000
2000-03-15,led,0.421,1000
2000-03-15,mwu,0.027,1000
2000-03-16,ad,0.024,1000
2000-03-16,chow,0.395,1000
2000-03-16,ks,0.024,1000
2000-03-16,led,0.42,1000
2000-03-16,mwu,0.025,1000
2000-03-17,ad,0.024,1000
2000-03-17,chow,0.406,1000
2000-03-17,ks,0.027,1000
2000-03-17,led,0.421,1000
2000-03-17,mwu,0.023,1000
2000-03-18,ad,0.019,1000
2000-03-18,chow,0.397,1000
2000-03-18,ks,0.024,1000
2000-03-18,led,0.411,1000
2000-03-18,mwu,0.02,1000
2000-03-19,ad,0.019,1000
2000-03-19,chow,0.41,1000
2000-03-19,ks,0.025,1000
2000-03-19,led,0.414,1000
2000-03-19,mwu,0.02,1000
2000-03-20,ad,0.019,1000
2000-03-20,chow,0.404,1000
2000-03-20,ks,0.016,1000
2000-03-20,led,0.416,1000
2000-03-20,mwu,0.018,1000
2000-03-21,ad,0.021,1000
2000-03-21,chow,0.387,1000
2000-03-21,ks,0.023,1000
2000-03-21,led,0.409,1000
2000-03-21,mwu,0.019,1000
2000-03-22,ad,0.022,1000
2000-03-22,chow,0.381,1000
2000-03-22,ks,0.018,1000
2000-03-22,led,0.414,1000
2000-03-22,mwu,0.017,1000
2000-03-23,ad,0.015,1000
2000-03-23,chow,0.382,1000
2000-03-23,ks,0.018,1000
2000-03-23,led,0.404,1000
2000-03-23,mwu,0.017,1000
2000-03-24,ad,0.02,1000
2000-03-24,chow,0.387,1000
2000-03-24,ks,0.021,1000
2000-03-24,led,0.418,1000
2000-03-24,mwu,0.018,1000
2000-03-25,ad,0.024,1000
2000-03-25,chow,0.408,1000
2000-03-25,ks,0.024,1000
2000-03-25,led,0.416,1000
2000-03-25,mwu,0.023,1000
2000-03-26,ad,0.021,1000
2000-03-26,chow,0.404,1000
2000-03-26,ks,0.024,1000
2000-03-26,led,0.412,1000
2000-03-26,mwu,0.023,1000
2000-03-27,ad,0.027,1000
2000-03-27,chow,0.407,1000
2000-03-27,ks,0.022,1000
2000-03-27,led,0.418,1000
2000-03-27,mwu,0.027,1000
2000-03-28,ad,0.03,1000
2000-03-28,chow,0.414,1000
2000-03-28,ks,0.031,1000
2000-03-28,led,0.434,1000
2000-03-28,mwu,0.031,1000
2000-03-29,ad,0.03,1000
2000-03-29,chow,0.422,1000
2000-03-29,ks,0.031,1000
2000-03-29,led,0.431,1000
2000-03-29,mwu,0.027,1000
2000-03-30,ad,0.025,1000
2000-03-30,chow,0.422,1000
2000-03-30,ks,0.024,1000
2000-03-30,led,0.439,1000
2000-03-30,mwu,0.025,1000
2000-03-31,ad,0.021,1000
2000-03-31,chow,0.42,1000
2000-03-31,ks,0.023,1000
2000-03-31,led,0.439,1000
2000-03-31,mwu,0.026,1000
2000-04-01,ad,0.027,1000
2000-04-01,chow,0.417,1000
2000-04-01,ks,0.029,1000
2000-04-01,led,0.43,1000
2000-04-01,mwu,0.03,1000
2000-04-02,ad,0.027,1000
2000-04-02,chow,0.42,1000
2000-04-02,ks,0.03,1000
2000-04-02,led,0.444,1000
2000-04-02,mwu,0.026,1000
2000-04-03,ad,0.024,1000
2000-04-03,chow,0.437,1000
2000-04-03,ks,0.027,1000
2000-04-03,led,0.452,1000
2000-04-03,mwu,0.025,1000
2000-04-04,ad,0.019,1000
2000-04-04,chow,0.427,1000
2000-04-04,ks,0.023,1000
2000-04-04,led,0.451,1000
2000-04-04,mwu,0.018,1000
2000-04-05,ad,0.019,1000
2000-04-05,chow,0.445,1000
2000-04-05,ks,0.019,1000
2000-04-05,led,0.455,1000
2000-04-05,mwu,0.016,1000
2000-04-06,ad,0.023,1000
2000-04-06,chow,0.435,1000
2000-04-06,ks,0.019,1000
2000-04-06,led,0.454,1000
2000-04-06,mwu,0.022,1000
2000-04-07,ad,0.021,1000
2000-04-07,chow,0.438,1000
2000-04-07,ks,0.023,1000
2000-04-07,led,0.462,1000
2000-04-07,mwu,0.027,1000
2000-04-08,ad,0.019,1000
2000-04-08,chow,0.431,1000
2000-04-08,ks,0.025,1000
2000-04-08,led,0.462,1000
2000-04-08,mwu,0.021,1000
2000-04-09,ad,0.016,1000
2000-04-09,chow,0.415,1000
2000-04-09,ks,0.016,1000
2000-04-09,led,0.451,1000
2000-04-09,mwu,0.019,1000
2000-04-10,ad,0.02,1000
2000-04-10,chow,0.408,1000
2000-04-10,ks,0.022,1000
2000-04-10,led,0.45,1000
2000-04-10,mwu,0.018,1000
2000-04-11,ad,0.024,1000
2000-04-11,chow,0.418,1000
2000-04-11,ks,0.021,1000
2000-04-11,led,0.45,1000
2000-04-11,mwu,0.015,1000
2000-04-12,ad,0.014,1000
2000-04-12,chow,0.411,1000
2000-04-12,ks,0.02,1000
2000-04-12,led,0.454,1000
2000-04-12,mwu,0.012,1000
2000-04-13,ad,0.018,1000
2000-04-13,chow,0.407,1000
2000-04-13,ks,0.021,1000
2000-04-13,led,0.441,1000
2000-04-13,mwu,0.014,1000
2000-04-14,ad,0.017,1000
2000-04-14,chow,0.39,1000
2000-04-14,ks,0.018,1000
2000-04-14,led,0.434,1000
2000-04-14,mwu,0.013,1000
2000-04-15,ad,0.018,1000
2000-04-15,chow,0.401,1000
2000-04-15,ks,0.015,1000
2000-04-15,led,0.427,1000
2000-04-15,mwu,0.018,1000
2000-04-16,ad,0.015,1000
2000-04-16,chow,0.389,1000
2000-04-16,ks,0.018,1000
2000-04-16,led,0.426,1000
2000-04-16,mwu,0.016,1000
2000-04-17,ad,0.021,1000
2000-04-17,chow,0.373,1000
2000-04-17,ks,0.022,1000
2000-04-17,led,0.419,1000
2000-04-17,mwu,0.018,1000
2000-04-18,ad,0.024,1000
2000-04-18,chow,0.38,1000
2000-04-18,ks,0.022,1000
2000-04-18,led,0.409,1000
2000-04-18,mwu,0.022,1000
2000-04-19,ad,0.019,1000
2000-04-19,chow,0.386,1000
2000-04-19,ks,0.024,1000
2000-04-19,led,0.404,1000
2000-04-19,mwu,0.017,1000
2000-04-20,ad,0.022,1000
2000-04-20,chow,0.39,1000
2000-04-20,ks,0.025,1000
2000-04-20,led,0.399,1000
2000-04-20,mwu,0.02,1000
2000-04-21,ad,0.023,1000
2000-04-21,chow,0.39,1000
2000-04-21,ks,0.021,1000
2000-04-21,led,0.408,1000
2000-04-21,mwu,0.022,1000
2000-04-22,ad,0.019,1000
2000-04-22,chow,0.389,1000
2000-04-22,ks,0.018,1000
2000-04-22,led,0.404,1000
2000-04-22,mwu,0.018,1000
2000-04-23,ad,0.023,1000
2000-04-23,chow,0.401,1000
2000-04-23,ks,0.028,1000
2000-04-23,led,0.406,1000
2000-04-23,mwu,0.024,1000
2000-04-24,ad,0.019,1000
2000-04-24,chow,0.405,1000
2000-04-24,ks,0.026,1000
2000-04-24,led,0.417,1000
2000-04-24,mwu,0.016,1000
2000-04-25,ad,0.023,1000
2000-04-25,chow,0.41,1000
2000-04-25,ks,0.023,1000
2000-04-25,led,0.437,1000
2000-04-25,mwu,0.026,1000
2000-04-26,ad,0.032,1000
2000-04-26,chow,0.408,1000
2000-04-26,ks,0.023,1000
2000-04-26,led,0.435,1000
2000-04-26,mwu,0.031,1000
2000-04-27,ad,0.026,1000
2000-04-27,chow,0.396,1000
2000-04-27,ks,0.025,1000
2000-04-27,led,0.433,1000
2000-04-27,mwu,0.024,1000
2000-04-28,ad,0.028,1000
2000-04-28,chow,0.384,1000
2000-04-28,ks,0.025,1000
2000-04-28,led,0.421,1000
2000-04-28,mwu,0.03,1000
2000-04-29,ad,0.032,1000
2000-04-29,chow,0.39,1000
2000-04-29,ks,0.03,1000
2000-04-29,led,0.422,1000
2000-04-29,mwu,0.035,1000
2000-04-30,ad,0.027,1000
2000-04-30,chow,0.394,1000
2000-04-30,ks,0.027,1000
2000-04-30,led,0.423,1000
2000-04-30,mwu,0.031,1000
2000-05-01,ad,0.032,1000
2000-05-01,chow,0.39,1000
2000-05-01,ks,0.025,1000
2000-05-01,led,0.436,1000
2000-05-01,mwu,0.03,1000
2000-05-02,ad,0.026,1000
2000-05-02,chow,0.403,1000
2000-05-02,ks,0.025,1000
2000-05-02,led,0.435,1000
2000-05-02,mwu,0.027,1000
2000-05-03,ad,0.027,1000
2000-05-03,chow,0.415,1000
2000-05-03,ks,0.026,1000
2000-05-03,led,0.431,1000
2000-05-03,mwu,0.025,1000
2000-05-04,ad,0.021,1000
2000-05-04,chow,0.396,1000
2000-05-04,ks,0.023,1000
2000-05-04,led,0.424,1000
2000-05-04,mwu,0.022,1000
2000-05-05,ad,0.031,1000
2000-05-05,chow,0.417,1000
2000-05-05,ks,0.029,1000
2000-05-05,led,0.419,1000
2000-05-05,mwu,0.028,1000
2000-05-06,ad,0.023,1000
2000-05-06,chow,0.411,1000
2000-05-06,ks,0.031,1000
2000-05-06,led,0.429,1000
2000-05-06,mwu,0.023,1000
2000-05-07,ad,0.017,1000
2000-05-07,chow,0.422,1000
2000-05-07,ks,0.023,1000
2000-05-07,led,0.44,1000
2000-05-07,mwu,0.017,1000
2000-05-08,ad,0.024,1000
2000-05-08,chow,0.424,1000
2000-05-08,ks,0.027,1000
2000-05-08,led,0.437,1000
2000-05-08,mwu,0.024,1000
2000-05-09,ad,0.021,1000
2000-05-09,chow,0.42,1000
2000-05-09,ks,0.029,1000
2000-05-09,led,0.439,1000
2000-05-09,mwu,0.021,1000
2000-05-10,ad,0.028,1000
2000-05-10,chow,0.418,1000
2000-05-10,ks,0.03,1000
2000-05-10,led,0.444,1000
2000-05-10,mwu,0.023,1000
2000-05-11,ad,0.025,1000
2000-05-11,chow,0.423,1000
2000-05-11,ks,0.034,1000
2000-05-11,led,0.441,1000
2000-05-11,mwu,0.023,1000
2000-05-12,ad,0.033,1000
2000-05-12,chow,0.428,1000
2000-05-12,ks,0.029,1000
2000-05-12,led,0.452,1000
2000-05-12,mwu,0.034,1000
2000-05-13,ad,0.027,1000
2000-05-13,chow,0.421,1000
2000-05-13,ks,0.032,1000
2000-05-13,led,0.447,1000
2000-05-13,mwu,0.028,1000
2000-05-14,ad,0.028,1000
2000-05-14,chow,0.409,1000
2000-05-14,ks,0.028,1000
2000-05-14,led,0.445,1000
2000-05-14,mwu,0.024,1000
2000-05-15,ad,0.027,1000
2000-05-15,chow,0.404,1000
2000-05-15,ks,0.027,1000
2000-05-15,led,0.448,1000
2000-05-15,mwu,0.028,1000
2000-05-16,ad,0.032,1000
2000-05-16,chow,0.437,1000
2000-05-16,ks,0.034,1000
2000-05-16,led,0.463,1000
2000-05-16,mwu,0.036,1000
2000-05-17,ad,0.03,1000
2000-05-17,chow,0.437,1000
2000-05-17,ks,0.028,1000
2000-05-17,led,0.48,1000
2000-05-17,mwu,0.031,1000
2000-05-18,ad,0.039,1000
2000-05-18,chow,0.449,1000
2000-05-18,ks,0.027,1000
2000-05-18,led,0.473,1000
2000-05-18,mwu,0.044,1000
2000-05-19,ad,0.041,1000
2000-05-19,chow,0.459,1000
2000-05-19,ks,0.03,1000
2000-05-19,led,0.497,1000
2000-05-19,mwu,0.046,1000
2000-05-20,ad,0.037,1000
2000-05-20,chow,0.453,1000
2000-05-20,ks,0.032,1000
2000-05-20,led,0.497,1000
2000-05-20,mwu,0.04,1000
2000-05-21,ad,0.04,1000
2000-05-21,chow,0.451,1000
2000-05-21,ks,0.041,1000
2000-05-21,led,0.499,1000
2000-05-21,mwu,0.043,1000
2000-05-22,ad,0.051,1000
2000-05-22,chow,0.477,1000
2000-05-22,ks,0.045,1000
2000-05-22,led,0.513,1000
2000-05-22,mwu,0.05,1000
2000-05-23,ad,0.046,1000
2000-05-23,chow,0.485,1000
2000-05-23,ks,0.045,1000
2000-05-23,led,0.515,1000
2000-05-23,mwu,0.05,1000
2000-05-24,ad,0.065,1000
2000-05-24,chow,0.498,1000
2000-05-24,ks,0.065,1000
2000-05-24,led,0.542,1000
2000-05-24,mwu,0.065,1000
2000-05-25,ad,0.073,1000
2000-05-25,chow,0.492,1000
2000-05-25,ks,0.061,1000
2000-05-25,led,0.553,1000
2000-05-25,mwu,0.076,1000
2000-05-26,ad,0.077,1000
2000-05-26,chow,0.505,1000
2000-05-26,ks,0.065,1000
2000-05-26,led,0.572,1000
2000-05-26,mwu,0.075,1000
2000-05-27,ad,0.074,1000
2000-05-27,chow,0.529,1000
2000-05-27,ks,0.068,1000
2000-05-27,led,0.596,1000
2000-05-27,mwu,0.08,1000
2000-05-28,ad,0.09,1000
2000-05-28,chow,0.547,1000
2000-05-28,ks,0.07,1000
2000-05-28,led,0.631,1000
2000-05-28,mwu,0.086,1000
2000-05-29,ad,0.105,1000
2000-05-29,chow,0.571,1000
2000-05-29,ks,0.082,1000
2000-05-29,led,0.658,1000
2000-05-29,mwu,0.105,1000
2000-05-30,ad,0.134,1000
2000-05-30,chow,0.587,1000
2000-05-30,ks,0.105,1000
2000-05-30,led,0.685,1000
2000-05-30,mwu,0.14,1000
2000-05-31,ad,0.148,1000
2000-05-31,chow,0.607,1000
2000-05-31,ks,0.133,1000
2000-05-31,led,0.727,1000
2000-05-31,mwu,0.14,1000
2000-06-01,ad,0.179,1000
2000-06-01,chow,0.642,1000
2000-06-01,ks,0.127,1000
2000-06-01,led,0.752,1000
2000-06-01,mwu,0.176,1000
2000-06-02,ad,0.208,1000
2000-06-02,chow,0.661,1000
2000-06-02,ks,0.161,1000
2000-06-02,led,0.775,1000
2000-06-02,mwu,0.2,1000
2000-06-03,ad,0.237,1000
2000-06-03,chow,0.675,1000
2000-06-03,ks,0.186,1000
2000-06-03,led,0.81,1000
2000-06-03,mwu,0.238,1000
2000-06-04,ad,0.29,1000
2000-06-04,chow,0.699,1000
2000-06-04,ks,0.232,1000
2000-06-04,led,0.838,1000
2000-06-04,mwu,0.284,1000
2000-06-05,ad,0.328,1000
2000-06-05,chow,0.737,1000
2000-06-05,ks,0.264,1000
2000-06-05,led,0.854,1000
2000-06-05,mwu,0.328,1000
2000-06-06,ad,0.402,1000
2000-06-06,chow,0.766,1000
2000-06-06,ks,0.324,1000
2000-06-06,led,0.89,1000
2000-06-06,mwu,0.401,1000
2000-06-07,ad,0.456,1000
2000-06-07,chow,0.786,1000
2000-06-07,ks,0.377,1000
2000-06-07,led,0.905,1000
2000-06-07,mwu,0.449,1000
2000-06-08,ad,0.516,1000
2000-06-08,chow,0.807,1000
2000-06-08,ks,0.435,1000
2000-06-08,led,0.914,1000
2000-06-08,mwu,0.506,1000
2000-06-09,ad,0.567,1000
2000-06-09,chow,0.825,1000
2000-06-09,ks,0.492,1000
2000-06-09,led,0.93,1000
2000-06-09,mwu,0.575,1000
2000-06-10,ad,0.62,1000
2000-06-10,chow,0.841,1000
2000-06-10,ks,0.548,1000
2000-06-10,led,0.948,1000
2000-06-10,mwu,0.622,1000
2000-06-11,ad,0.691,1000
2000-06-11,chow,0.854,1000
2000-06-11,ks,0.611,1000
2000-06-11,led,0.964,1000
2000-06-11,mwu,0.688,1000
2000-06-12,ad,0.747,1000
2000-06-12,chow,0.862,1000
2000-06-12,ks,0.676,1000
2000-06-12,led,0.975,1000
2000-06-12,mwu,0.732,1000
2000-06-13,ad,0.787,1000
2000-06-13,chow,0.872,1000
2000-06-13,ks,0.722,1000
2000-06-13,led,0.977,1000
2000-06-13,mwu,0.773,1000
2000-06-14,ad,0.827,1000
2000-06-14,chow,0.901,1000
2000-06-14,ks,0.777,1000
2000-06-14,led,0.986,1000
2000-06-14,mwu,0.821,1000
2000-06-15,ad,0.864,1000
2000-06-15,chow,0.909,1000
2000-06-15,ks,0.815,1000
2000-06-15,led,0.992,1000
2000-06-15,mwu,0.856,1000
2000-06-16,ad,0.894,1000
2000-06-16,chow,0.914,1000
2000-06-16,ks,0.852,1000
2000-06-16,led,0.993,1000
2000-06-16,mwu,0.885,1000
2000-06-17,ad,0.922,1000
2000-06-17,chow,0.928,1000
2000-06-17,ks,0.883,1000
2000-06-17,led,0.995,1000
2000-06-17,mwu,0.922,1000
2000-06-18,ad,0.951,1000
2000-06-18,chow,0.917,1000
2000-06-18,ks,0.918,1000
2000-06-18,led,0.992,1000
2000-06-18,mwu,0.951,1000
2000-06-19,ad,0.963,1000
2000-06-19,chow,0.926,1000
2000-06-19,ks,0.929,1000
2000-06-19,led,0.993,1000
2000-06-19,mwu,0.962,1000
2000-06-20,ad,0.977,1000
2000-06-20,chow,0.926,1000
2000-06-20,ks,0.95,1000
2000-06-20,led,0.991,1000
2000-06-20,mwu,0.976,1000
2000-06-21,ad,0.989,1000
2000-06-21,chow,0.934,1000
2000-06-21,ks,0.969,1000
2000-06-21,led,0.994,1000
2000-06-21,mwu,0.987,1000
2000-06-22,ad,0.989,1000
2000-06-22,chow,0.928,1000
2000-06-22,ks,0.978,1000
2000-06-22,led,0.996,1000
2000-06-22,mwu,0.99,1000
2000-06-23,ad,0.992,1000
2000-06-23,chow,0.921,1000
2000-06-23,ks,0.981,1000
2000-06-23,led,0.984,1000
2000-06-23,mwu,0.992,1000
2000-06-24,ad,0.991,1000
2000-06-24,chow,0.922,1000
2000-06-24,ks,0.976,1000
2000-06-24,led,0.989,1000
2000-06-24,mwu,0.991,1000
2000-06-25,ad,0.993,1000
2000-06-25,chow,0.908,1000
2000-06-25,ks,0.983,1000
2000-06-25,led,0.981,1000
2000-06-25,mwu,0.991,1000
2000-06-26,ad,0.993,1000
2000-06-26,chow,0.904,1000
2000-06-26,ks,0.967,1000
2000-06-26,led,0.978,1000
2000-06-26,mwu,0.989,1000
2000-06-27,ad,0.984,1000
2000-06-27,chow,0.898,1000
2000-06-27,ks,0.963,1000
2000-06-27,led,0.978,1000
2000-06-27,mwu,0.983,1000
2000-06-28,ad,0.96,1000
2000-06-28,chow,0.881,1000
2000-06-28,ks,0.926,1000
2000-06-28,led,0.967,1000
2000-06-28,mwu,0.955,1000
2000-06-29,ad,0.931,1000
2000-06-29,chow,0.894,1000
2000-06-29,ks,0.89,1000
2000-06-29,led,0.963,1000
2000-06-29,mwu,0.926,1000
2000-06-30,ad,0.865,1000
2000-06-30,chow,0.905,1000
2000-06-30,ks,0.817,1000
2000-06-30,led,0.971,1000
2000-06-30,mwu,0.858,1000
2000-07-01,ad,0.811,1000
2000-07-01,chow,0.909,1000
2000-07-01,ks,0.741,1000
2000-07-01,led,0.966,1000
2000-07-01,mwu,0.796,1000
2000-07-02,ad,0.738,1000
2000-07-02,chow,0.923,1000
2000-07-02,ks,0.657,1000
2000-07-02,led,0.966,1000
2000-07-02,mwu,0.714,1000
2000-07-03,ad,0.642,1000
2000-07-03,chow,0.914,1000
2000-07-03,ks,0.578,1000
2000-07-03,led,0.98,1000
2000-07-03,mwu,0.618,1000
2000-07-04,ad,0.549,1000
2000-07-04,chow,0.931,1000
2000-07-04,ks,0.484,1000
2000-07-04,led,0.985,1000
2000-07-04,mwu,0.525,1000
2000-07-05,ad,0.448,1000
2000-07-05,chow,0.936,1000
2000-07-05,ks,0.391,1000
2000-07-05,led,0.99,1000
2000-07-05,mwu,0.43,1000
2000-07-06,ad,0.353,1000
2000-07-06,chow,0.944,1000
2000-07-06,ks,0.289,1000
2000-07-06,led,0.991,1000
2000-07-06,mwu,0.338,1000
2000-07-07,ad,0.273,1000
2000-07-07,chow,0.951,1000
2000-07-07,ks,0.215,1000
2000-07-07,led,0.983,1000
2000-07-07,mwu,0.253,1000
2000-07-08,ad,0.195,1000
2000-07-08,chow,0.958,1000
2000-07-08,ks,0.156,1000
2000-07-08,led,0.974,1000
2000-07-08,mwu,0.188,1000
2000-07-09,ad,0.136,1000
2000-07-09,chow,0.953,1000
2000-07-09,ks,0.101,1000
2000-07-09,led,0.963,1000
2000-07-09,mwu,0.126,1000
2000-07-10,ad,0.093,1000
2000-07-10,chow,0.925,1000
2000-07-10,ks,0.078,1000
2000-07-10,led,0.917,1000
2000-07-10,mwu,0.088,1000
2000-07-11,ad,0.065,1000
2000-07-11,chow,0.864,1000
2000-07-11,ks,0.049,1000
2000-07-11,led,0.855,1000
2000-07-11,mwu,0.062,1000
2000-07-12,ad,0.043,1000
2000-07-12,chow,0.787,1000
2000-07-12,ks,0.026,1000
2000-07-12,led,0.766,1000
2000-07-12,mwu,0.036,1000
2000-07-13,ad,0.026,1000
2000-07-13,chow,0.693,1000
2000-07-13,ks,0.016,1000
2000-07-13,led,0.672,1000
2000-07-13,mwu,0.019,1000
2000-07-14,ad,0.016,1000
2000-07-14,chow,0.59,1000
2000-07-14,ks,0.011,1000
2000-07-14,led,0.567,1000
2000-07-14,mwu,0.013,1000
2000-07-15,ad,0.008,1000
2000-07-15,chow,0.483,1000
2000-07-15,ks,0.007,1000
2000-07-15,led,0.461,1000
2000-07-15,mwu,0.007,1000
2000-07-16,ad,0.005,1000
2000-07-16,chow,0.388,1000
2000-07-16,ks,0.005,1000
2000-07-16,led,0.364,1000
2000-07-16,mwu,0.005,1000
2000-07-17,ad,0.004,1000
2000-07-17,chow,0.294,1000
2000-07-17,ks,0.003,1000
2000-07-17,led,0.276,1000
2000-07-17,mwu,0.003,1000
2000-07-18,ad,0.0,1000
2000-07-18,chow,0.222,1000
2000-07-18,ks,0.0,1000
2000-07-18,led,0.203,1000
2000-07-18,mwu,0.001,1000
2000-07-19,ad,0.0,1000
2000-07-19,chow,0.152,1000
2000-07-19,ks,0.0,1000
2000-07-19,led,0.142,1000
2000-07-19,mwu,0.0,1000
2000-07-20,ad,0.0,1000
2000-07-20,chow,0.106,1000
2000-07-20,ks,0.0,1000
2000-07-20,led,0.094,1000
2000-07-20,mwu,0.0,1000
2000-07-21,ad,0.0,1000
2000-07-21,chow,0.072,1000
2000-07-21,ks,0.0,1000
2000-07-21,led,0.064,1000
2000-07-21,mwu,0.0,1000
2000-07-22,ad,0.0,1000
2000-07-22,chow,0.046,1000
2000-07-22,ks,0.0,1000
2000-07-22,led,0.043,1000
2000-07-22,mwu,0.0,1000
2000-07-23,ad,0.0,1000
2000-07-23,chow,0.029,1000
2000-07-23,ks,0.0,1000
2000-07-23,led,0.021,1000
2000-07-23,mwu,0.0,1000
2000-07-24,ad,0.0,1000
2000-07-24,chow,0.014,1000
2000-07-24,ks,0.0,1000
2000-07-24,led,0.012,1000
2000-07-24,mwu,0.0,1000
2000-07-25,ad,0.0,1000
